Tarih,Corba,Yemek,Pilav,Tatli,Su,Ekmek,Kalori
1 Haziran 2024,Sehriye Corba/Yarmali Yogurt Corba,Etli Turlu/Mantar Sote,Pirinc Pilavi,Lokma Tatlisi,500 ml Su,Ceyrek Ekmek,650-800 kalori
2 Haziran 2024,Domates Corba/Kremali Sebze Corba,Izgara Kofte + Kozlenmis Biber-Domates/Patates Yemegi,Salcali Bulgur Pilavi,Karisik Salata,500 ml Su,Ceyrek Ekmek,650-800 kalori
3 Haziran 2024,Ezogelin Corba/Ayran Asi Corba,Tavuk Kulbasti + Patates Kizartma/Ratatuy,Spagetti Napoliten,Karpuz,500 ml Su,Ceyrek Ekmek,650-800 kalori
4 Haziran 2024,Tarhana Corba/Kremali Mantar Corba,Ciftlik Kofte/Barbunya Yemegi,Sehriyeli Pirinc Pilavi,Pembe Sultan,500 ml Su,Ceyrek Ekmek,650-800 kalori
5 Haziran 2024,Mercimek Corba/Terbiyeli Sehriye Corba,Cokertme Kebabi/Taze Fasulye Yemegi,Bulgur Pilavi,Coban Salata,500 ml Su,Ceyrek Ekmek,650-800 kalori
6 Haziran 2024,Domates Corba/Havuc Corba,Etli Karisik Dolma + Yogurt/Karisik Kizartma + Yogurt,Cevizli Eriste,Supangle,500 ml Su,Ceyrek Ekmek,650-800 kalori
7 Haziran 2024,Sehriye Corba/Misir Corba,Tavuk Sis+Koz Sebzeler/Patlican Yemegi,Pirinc Pilavi,Haydari,500 ml Su,Ceyrek Ekmek,650-800 kalori
8 Haziran 2024,Ezogelin Corba/Kremali Sebze Corba,Akcakabat Kofte+Elma Dilim Firin Patates/Mucver + Yogurt,Salcali Makarna,Ayran,500 ml Su,Ceyrek Ekmek,650-800 kalori
9 Haziran 2024,Ayran Asi Corba/Tarhana Corba,Karniyarik/Bezelye Yemegi,Sehriyeli Pirinc Pilavi,Fistikli Kadayif,500 ml Su,Ceyrek Ekmek,650-800 kalori
10 Haziran 2024,Domates Corba/Kremali Mantar Corba,Tas Kebabi/Mevsim Turlu,Mercimekli Bulgur Pilavi,Havuc Tarator,500 ml Su,Ceyrek Ekmek,650-800 kalori
11 Haziran 2024,Mercimek Corba/Koz Biber Corba,Etli Taze Fasulye/Biber Dolma+Yoğurt,Patatesli Tepsi Boregi,Keşkül,500 ml Su,Ceyrek Ekmek,650-800 kalori
12 Haziran 2024,Tarhana Corba/Toyga Corba,Tavuk Sote/Patates Yemegi,Bulgur Pilavi,Kavun,500 ml Su,Ceyrek Ekmek,650-800 kalori
13 Haziran 2024,Sehriye Corba/Kremali Sebze Corba,Etli Kuru Fasulye/Imam Bayildi,Pirinc Pilavi,Tursu,500 ml Su,Ceyrek Ekmek,650-800 kalori
14 Haziran 2024,Ezogelin Corba/Dereotlu Terbiyeli Patates Corba,Terbiyeli Sulu Kofte/Karisik Kizartma + Yogurt,Spagetti Napoliten,Çikolatali Kremali Pasta,500 ml Su,Ceyrek Ekmek,650-800 kalori
15 Haziran 2024,Domates Corba/Misir Corba,Mengen Musakka/Mantar Corba,Sehriyeli Bulgur Pilavi,Cacik,500 ml Su,Ceyrek Ekmek,650-800 kalori
16 Haziran 2024,Mercimek Corba/Yayla Corba,Çoban Kavurma + Patates Kizartmasi/Ispanak Kavurma+Yoğurt,Sehriyeli Pirinc Pilavi,Kasik Salata,500 ml Su,Ceyrek Ekmek,650-800 kalori
